DiscussionID,AlbumName,ArtistName,Date,AvgRating,Stdev,Attendance,RotationGenre,OtherGenre,Subgenres,ReleaseYear,FavoriteTrack,Popularity,Tracks,SpotifyID,Image
44,IGOR,"Tyler, the Creator",2023-06-05,8.79,0.97,14,LGBTQ+,TRUE,Neo-Soul,2019,New Magic Wand,85,12,5zi7WsKlIiUXv09tbGLKsE,https://i.scdn.co/image/ab67616d0000b2737005885df706891a3c182a57
45,Grace,Jeff Buckley ,2023-06-12,8.31,1.21,16,Alt Rock,TRUE,Alternative Rock,1994,Lover You Should Have Come Over,71,11,7yQtjAjhtNi76KRu05XWFS,https://i.scdn.co/image/ab67616d0000b2736a760642a56847027428cb61
46,The Dark Side of the Moon,Pink Floyd,2023-06-19,8.38,0.77,13,60s-80s,TRUE,"Art Rock, Progressive Rock",1973,Money,77,10,4LH4d3cOWNNsVw41Gqt2kv,https://i.scdn.co/image/ab67616d0000b273ea7caaff71dea1051d49b2fe
47,Pink Moon,Nick Drake,2023-06-26,7.31,1.11,13,Folk,TRUE,"Contemporary Folk, Singer-Songwriter",1972,Pink Moon,66,11,5mwOo1zikswhmfHvtqVSXg,https://i.scdn.co/image/ab67616d0000b273e369195caf5d169bf5e9eafc
48,In the Wee Small Hours,Frank Sinatra,2023-07-03,7.8,0.91,10,20s-50s,TRUE,"Standards, Vocal Jazz",1955,In the Wee Small Hours of the Morning,50,16,3GmwKB1tgPZgXeRJZSm9WX,https://i.scdn.co/image/ab67616d0000b273d4f8a582c0c3a3d67f395c6d
49,Mezzanine,Massive Attack,2023-07-10,7.53,1.26,13,Industrial,TRUE,Trip Hop,1998,Inertia Creeps,68,11,49MNmJhZQewjt06rpwp6QR,https://i.scdn.co/image/ab67616d0000b2732fcb0a3c7a66e516b11cd26e
50,Harvest Moon,Neil Young,2023-07-17,7.18,1.25,11,Country,TRUE,"Country Rock, Singer-Songwriter, Folk Rock",1992,Harvest Moon,0,10,0tdm853TNWjVVChbJRbu3Q,https://i.scdn.co/image/ab67616d0000b273e7171a8d9c8bf1d8fb661e80
51,Born Under a Bad Sign,Albert King,2023-07-24,7.6,0.97,10,Electric Blues,TRUE,"Electric Blues, Soul Blues",1967,Born Under a Bad Sign,47,11,42WQ76qWDQmHlHvJa6Z3Uw,https://i.scdn.co/image/ab67616d0000b273599bb610f6243326e6176663
52,98.12.28 男達の別れ,Fishmans,2023-07-31,8.45,1.37,11,Dream Pop/Shoegaze,TRUE,"Dream Pop, Neo-Psychedelia",1999,In The Air,43,14,5K4YFkTizFoMOyN5Khfp7G,https://i.scdn.co/image/ab67616d0000b273b8b2f65e2dfa733439974801
53,songs,Adrianne Lenker,2023-08-07,8.64,1.21,11,Wild Card,FALSE,"Singer-Songwriter, Contemporary Folk",2020,anything,60,11,2Qt8Z1LB3Fsrf6nhBNsvUJ,https://i.scdn.co/image/ab67616d00001e02ab009ce861613653b14451b9
54,Disintegration (2010 Remaster),The Cure,2023-09-05,7.04,1.32,81,Rock,FALSE,"Gothic Rock, Post-Punk",1989,Lullaby,48,12,0A13JySVHzBoRZFk2o89Wl,https://i.scdn.co/image/ab67616d00001e023ec3e0853e3b84dc64272647
55,Post,Björk,2023-09-11,7.29,1.47,75,Pop,FALSE,"Art Pop, Electronic",1995,It's Oh So Quiet,53,11,2Ul7B1LEHxXzYubtkTMENs,https://i.scdn.co/image/ab67616d00001e02a865a9acd0169c7a014063b0
56,To Pimp A Butterfly,Kendrick Lamar,2023-09-18,8.84,1.37,84,Hip Hop,FALSE,"Conscious Hip Hop, West Coast Hip Hop, Jazz Rap",2015,Wesley's Theory,79,16,7ycBtnsMtyVbbwTfJwRjSP,https://i.scdn.co/image/ab67616d00001e02cdb645498cd3d8a2db4d05e1
57,Pet Sounds,The Beach Boys,2023-09-25,7.77,1.60,58,60s,TRUE,Baroque Pop,1966,Wouldn't It Be Nice,64,13,2CNEkSE8TADXRT2AzcEt1b,https://i.scdn.co/image/ab67616d00001e0250eb0c521d2d3b2f599bff04
58,Ctrl,SZA,2023-10-02,7.81,1.59,61,Wildcard,FALSE,"Alternative R&B, Neo-Soul",2017,Drew Barrymore,84,14,76290XdXVF9rPzGdNRWdCh,https://i.scdn.co/image/ab67616d00001e024c79d5ec52a6d0302f3add25
59,To See the Next Part of the Dream,Parannoul,2023-10-16,7.36,1.60,54,Small Artist,TRUE,"Shoegaze, Emo, Indie Rock",2021,Beautiful World,44,10,5IyHtkKQvafw7bQYFnx4FO,https://i.scdn.co/image/ab67616d00001e022c373d645f0cb73dedde2683
60,For the first time,"Black Country, New Road",2023-10-23,7.10,2.15,53,Rock,FALSE,"Post-Rock, Experimental Rock, Post-Punk",2021,Opus,51,6,2PfgptDcfJTFtoZIS3AukX,https://i.scdn.co/image/ab67616d00001e020ffaa4f75b2297d36ff1e0ad
61,Blue Banisters,Lana Del Rey,2023-10-30,6.97,1.60,39,Pop,FALSE,"Singer-Songwriter, Soft Rock",2021,Dealer,74,15,2wwCc6fcyhp1tfY3J6Javr,https://i.scdn.co/image/ab67616d00001e026946deb6f548e464b385ee0e
62,Atrocity Exhibition,Danny Brown,2023-11-06,7.40,1.54,40,Hip Hop,FALSE,"Experimental Hip Hop, Hardcore Hip Hop, Drug-Spiral Rap",2016,Ain't it Funny,55,15,3A1vnUJDPz0xYMful9pO4I,https://i.scdn.co/image/ab67616d00001e0206ce558a01af20d2837fb601
63,Kala,M.I.A.,2023-11-13,7.22,1.74,41,00s,TRUE,"UK Hip Hop, Experimental Hip Hop",2007,Paper Planes,68,12,2xoj2gYed3IYmGWn3owSfu,https://i.scdn.co/image/ab67616d00001e02310d9098fbbde47bf7785637
64,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),David Bowie,2023-11-20,8.14,1.41,33,Wildcard,FALSE,"Glam Rock, Pop Rock",1972,Starman - 2012 Remaster,72,11,48D1hRORqJq52qsnUYZX56,https://i.scdn.co/image/ab67616d00001e02c41f4e1133b0e6c5fcf58680
65,Escape From Dragon House (Deluxe Version),Dengue Fever,2023-11-27,7.45,0.91,23,International/Non-English,TRUE,"Cambodian Pop, Psychedelic Pop",2005,One Thousand Tears of a Tarantula,24,15,54nAhs51Fw3IyLBOhuZCjZ,https://i.scdn.co/image/ab67616d00001e0276a5e4f4fb75d533ba8c2b22
66,Turn On The Bright Lights,Interpol,2024-01-29,7.40,1.60,57,Rock,FALSE,"Post-Punk Revival, Indie Rock",2002,Obstacle 1,66,11,4sW8Eql2e2kdRP1A1R1clG,https://i.scdn.co/image/ab67616d00001e0214f8df9fb9c2d3056a994390
67,Titanic Rising,Weyes Blood,2024-02-05,8.20,1.50,55,Pop,FALSE,"Baroque Pop, Art Pop, Progressive Pop, Singer-Songwriter",2019,Andromeda,68,10,0Cuqhgy8vm96JEkBY3polk,https://i.scdn.co/image/ab67616d00001e020c64e752dec4c08362cc4a88
68,Because the Internet,Childish Gambino,2024-02-12,6.88,1.93,42,Hip-Hop,FALSE,"Abstract Hip Hop, West Coast Hip Hop, Contemporary R&B",2013,3005,81,19,62yjWIhnATHxPqGbgC9Lqr,https://i.scdn.co/image/ab67616d00001e0226d64b6150aa3d9b6b67d857
69,The Four Seasons,Antonio Vivaldi,2024-02-19,8.08,1.25,38,Classical,TRUE,"Baroque Music, Concerto",1985,Winter: I. Allegro non molto,63,12,4eEJooUkzenp7lZTtfbIP7,https://i.scdn.co/image/ab67616d00001e02c7464f9c451674bc683cb47f
70,House Of Balloons (Original),The Weeknd,2024-02-26,8.04,1.08,30,Mainstream,TRUE,"Alternative R&B, Downtempo",2011,House Of Balloons / Glass Table Girls,83,9,7zCODUHkfuRxsUjtuzNqbd,https://i.scdn.co/image/ab67616d00001e02274b406a7e18acebcf743079
,,,,,,,,,,,,,,,
